Stock Symbol,Company Name,DARS Rating,Ex-Div Date,Payout Frequency,Div Payout,Pay Date,Qualified Dividend,Stock Price,Yield,Sector,Industry,Record Date,Declare Date,ADR
JBN,"Corporate Backed Call Trust Certificates J C Penney Debentur J.C. Penney Debenture-Backed Series 2007-1, Class",N/A,2020-02-27,Semi Annually,$0.8750,2020-03-01,Non-Qualified,$6.00,28.93%,Uncategorized,Other,2020-02-28,2020-01-21,No
HJV,Saturns Trust No 2007-1 7% Callable Class A Units,N/A,2020-02-25,Semi Annually,$0.8750,2020-03-01,Non-Qualified,$6.12,28.74%,Uncategorized,Other,2020-02-26,2020-01-21,No
JBR,Corporate Backed Callable Trust Certificates JC Penney Deben JC Penney Deb Bkd 2006-1 Ctf A-1,N/A,2020-02-27,Semi Annually,$0.8750,2020-03-01,Non-Qualified,$6.08,28.46%,Uncategorized,Other,2020-02-28,2020-01-21,No
KTP,CORTSsm Trust for J.C. Penney 7.625% Cortsk Ctfs,N/A,2020-02-27,Semi Annually,$0.9531,2020-03-01,Non-Qualified,$6.77,27.75%,Uncategorized,Other,2020-02-28,2020-01-21,No
PEI,Penn Real Estate Trust,1.0,2020-02-28,Quarter,$0.2100,2020-03-16,Non-Qualified,$3.73,23.33%,Financial,Reit Retail,2020-03-02,2020-02-20,No
NNA,Navios Maritime Acquisition Corp Ord,0.2,2020-03-04,Quarter,$0.3000,2020-04-07,Unknown,$4.88,22.64%,Services,Shipping,2020-03-05,2020-01-22,No
CHK-PR-D,Chesapeake Energy Corp. 4.50% Cum Conv Pfd Stk,N/A,2020-02-27,Quarter,$1.1250,2020-03-15,Qualified,$19.30,22.24%,Uncategorized,Other,2020-03-01,2020-01-17,No
SJT,San Juan Basin Royalty Trust,0.0,2020-02-27,Monthly,$0.0370,2020-03-13,Unknown,$2.43,17.06%,Financial,Diversified Investments,2020-02-28,2020-02-18,No
PBT,Permian Basin Royalty Trust Units Ben. Int.,0.2,2020-02-27,Monthly,$0.0503,2020-03-13,Unknown,$3.88,15.71%,Financial,Diversified Investments,2020-02-28,2020-02-18,No
YGYIP,Youngevity International Inc - 9.75% PRF PERPETUAL USD 25 - Ser D,N/A,2020-02-27,Monthly,$0.2031,2020-03-16,Qualified,$16.45,14.76%,Uncategorized,Other,2020-02-28,2020-01-17,No
