Stock Symbol,Company Name,DARS Rating,Yield,Stock Price,Annual Dividend,Ex-Div Date,Payout Frequency,Pay Date,Sector,Industry,Qualified Dividend,Record Date,Declare Date,ADR
PEI,Penn Real Estate Trust,1,32.43%,$2.36,$0.8400,2020-02-28,Quarter,2020-03-16,Financial,Reit Retail,Non-Qualified,2020-03-02,2020-02-20,No
AM,Antero Midstream Partners LP,0.8,28.21%,$4.36,$1.2300,2020-01-30,Quarter,2020-02-12,Basic Materials,Oil And Gas Pipelines,Qualified,2020-01-31,2020-01-15,No
EQM,EQT Midstream Partners LP,1.2,26.73%,$17.36,$4.6400,2020-02-03,Quarter,2020-02-13,Basic Materials,Major Integrated Oil And Gas,Unknown,2020-02-04,2020-01-15,No
ETRN,Equitrans Midstream Corp.,0.2,25.50%,$7.06,$1.8000,2020-02-10,Quarter,2020-02-21,Basic Materials,Oil And Gas Pipelines,Qualified,2020-02-11,2020-01-15,No
NNA,Navios Maritime Acquisition Corp Ord,1,25.21%,$5.04,$1.2000,2020-03-04,Quarter,2020-04-07,Services,Shipping,Unknown,2020-03-05,2020-01-22,No
DSE,Duff & Phelps Select Energy MLP,0.2,23.35%,$2.57,$0.6000,2020-02-12,Quarter,2020-02-21,Financial,Closed End Fund Equity,Unknown,2020-02-13,2020-02-03,No
FMO,Fiduciary / Claymore MLP Opportunity Fund,0.2,23.16%,$5.58,$1.2924,2020-02-13,Quarter,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-14,2020-02-03,No
DHT,DHT Holdings Inc,1,23.06%,$5.55,$1.2800,2020-02-14,Quarter,2020-02-25,Services,Shipping,Unknown,2020-02-18,2020-02-05,No
CRF,"Cornerstone Total Return Fund, Inc",0.8,23.03%,$9.36,$2.1552,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-16,2019-11-01,No
CLM,"Cornerstone Strategic Value Fund, Inc.",0.8,22.90%,$9.71,$2.2236,2020-03-13,Monthly,2020-03-31,Financial,Closed End Fund Equity,Unknown,2020-03-16,2019-11-01,No
GEL,Genesis Energy L.P.,0.6,22.16%,$9.93,$2.2000,2020-01-30,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-31,2020-01-08,No
SMLP,Summit Midstream Partners LP,1,21.93%,$2.03,$0.5000,2020-02-06,Quarter,2020-02-14,Utilities,Gas Utilities,Unknown,2020-02-07,2020-01-29,No
CUBA,"Herzfeld Caribbean Basin Fund, Inc",0.6,21.01%,$5.42,$1.1385,2019-12-19,Quarter,2019-12-31,Financial,Closed End Fund Foreign,Unknown,2019-12-20,2019-12-03,No
SRLP,Sprague Resources LP,1,20.86%,$12.29,$2.6700,2020-02-03,Quarter,2020-02-10,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-02-04,2020-01-24,No
VET,"Vermillion Energy, Inc.",0.8,20.22%,$10.05,$2.0784,2020-02-27,Monthly,2020-03-16,Basic Materials,Oil And Gas Drilling And Exploration,Unknown,2020-02-28,2020-02-18,No
DCP,"DCP Midstream, LP",1,20.01%,$15.59,$3.1200,2020-01-31,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-02-03,2020-01-22,No
WPG,Washington Prime Group Inc,0.8,20.00%,$2.75,$0.5000,2020-03-06,Quarter,2020-03-16,Financial,Property Management,Non-Qualified,2020-03-09,2020-02-26,No
WES,Western Gas Partners L.P.,1.2,19.73%,$13.06,$2.4880,2020-01-30,Quarter,2020-02-13,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-31,2020-01-20,No
ENLC,EnLink Midstream LLC,1.8,19.69%,$3.81,$0.7500,2020-01-30,Quarter,2020-02-13,Basic Materials,Oil And Gas Refining And Marketing,Unknown,2020-01-31,2020-01-15,No
