Stock Symbol,Company Name,DARS Rating,Yield,Stock Price,Annual Dividend,Ex-Div Date,Payout Frequency,Pay Date,Sector,Industry,Qualified Dividend,Record Date,Declare Date,ADR
PEI,Penn Real Estate Trust,1,33.33%,$2.34,$0.8400,2020-02-28,Quarter,2020-03-16,Financial,Reit Retail,Non-Qualified,2020-03-02,2020-02-20,No
EQM,EQT Midstream Partners LP,1.2,30.05%,$15.67,$4.6400,2020-02-03,Quarter,2020-02-13,Basic Materials,Major Integrated Oil And Gas,Unknown,2020-02-04,2020-01-15,No
AM,Antero Midstream Partners LP,0.8,29.01%,$4.16,$1.2300,2020-01-30,Quarter,2020-02-12,Basic Materials,Oil And Gas Pipelines,Qualified,2020-01-31,2020-01-15,No
ETRN,Equitrans Midstream Corp.,0.2,28.21%,$6.51,$1.8000,2020-02-10,Quarter,2020-02-21,Basic Materials,Oil And Gas Pipelines,Qualified,2020-02-11,2020-01-15,No
SMLP,Summit Midstream Partners LP,1,27.78%,$1.62,$0.5000,2020-02-06,Quarter,2020-02-14,Utilities,Gas Utilities,Unknown,2020-02-07,2020-01-29,No
NNA,Navios Maritime Acquisition Corp Ord,1,23.76%,$4.43,$1.2000,2020-03-04,Quarter,2020-04-07,Services,Shipping,Unknown,2020-03-05,2020-01-22,No
DHT,DHT Holdings Inc,1,23.49%,$5.05,$1.2800,2020-02-14,Quarter,2020-02-25,Services,Shipping,Unknown,2020-02-18,2020-02-05,No
FMO,Fiduciary / Claymore MLP Opportunity Fund,0.2,22.91%,$5.50,$1.2924,2020-02-13,Quarter,2020-02-28,Financial,Closed End Fund Equity,Unknown,2020-02-14,2020-02-03,No
DSE,Duff & Phelps Select Energy MLP,0.2,22.47%,$2.60,$0.6000,2020-02-12,Quarter,2020-02-21,Financial,Closed End Fund Equity,Unknown,2020-02-13,2020-02-03,No
GEL,Genesis Energy L.P.,0.6,22.29%,$9.48,$2.2000,2020-01-30,Quarter,2020-02-14,Basic Materials,Oil And Gas Pipelines,Unknown,2020-01-31,2020-01-08,No
